1800WxBrief Parameter name,1800WxBrief parm description,Display Description,Display for OutlookBrief,Default Value OutLook Brief ,Display for StandardBrief,Default value for Standard Brief,Display For Abbreviated Brief,Default value for Abbreviated Brief,Display for NOTAMS only Brief,Default Value NOTAMS only
TFR,,Temporary Flight Restrictions,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
DD_NTM,,Closed/Unsafe NOTAMs,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
WST,,Convective SIGMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
WS,,SIGMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
IFR,,IFR AIRMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
MTN_OBSCN,,Mountain Obscuration AIRMET,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
ICING,,Icing AIRMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
FZLVL,,Freezing Level AIRMET,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
TURBO_LO,,Turbulence Low Altitude AIRMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
TURBO_HI,,Turbulence High Altitude AIRMET,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
WINDS_GT_30,,Winds Over 30 Knots AIRMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LLWS,,Low Level Wind Shear AIRMET,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OTHER,,Other AIRMET,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
UUA,,Urgent Pilot Report,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
CWA,,Center Weather Advisory,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
SEV_WX,,Severe Weather,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
VAA,"(applicable to NGBV2 briefing type, or versions prior to 20171207)",Volcanic Ash Advisory,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
SYNS,,Synopsis,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
METAR,,METARs,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
PIREP,,Pilot Reports,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CC,,Graphical Area Forecast Cloud Coverage,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
VIS,,"Graphical Area Forecast Vis, Sfc. Winds, and Precip",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
TAF,,Terminal Forecast,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
FB,,Winds Aloft,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
FA,,Area Forecast,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
AC,,Convective Outlook,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ATCSCC,,Air Traffic Control System Command Center,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
WH,,NHC Bulletins,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
UOA,,UAS Operating Area,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DEP_NTM,,Departure NOTAM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DEST_NTM,,Destination NOTAM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
